;parent;name;inner.name
0;kochen;Ist backen kochen?;Was bedeutet Nachbacken?
1;kochen;Ist backen kochen?;Was versteht man unter garen?
2;kochen;Was kann man abends essen?;Welches Obst sollte man abends nicht essen?
3;kochen;Was kann man abends essen?;Warum soll man abends kein Salat essen?
4;kochen;Was kann man abends essen?;Was darf man essen wenn man abnehmen will Liste?
5;kochen;Was essen wir morgen?;Was sollte man am besten zum Frühstück essen?
6;kochen;Was essen wir morgen?;Was essen vegetarisch?
7;kochen;Wer hat das Kochen erfunden?;Was hat man in der Jungsteinzeit gegessen?
